               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.039353,            0.039687,            0.011446,             0.49799,             0.88901,             0.61442,             0.33325,            0.039471,            0.028884,           0.0077444,           0.0062102,           0.0062102,           0.0062102
                  51,            0.038468,            0.043712,            0.012564,             0.53244,             0.88527,             0.67591,             0.36705,            0.039515,            0.029454,           0.0082186,           0.0061328,           0.0061328,           0.0061328
                  52,            0.038229,            0.042565,            0.012727,             0.55964,             0.87802,             0.69054,             0.33357,            0.036493,            0.029204,           0.0084027,           0.0060555,           0.0060555,           0.0060555
                  53,            0.039618,            0.039342,            0.011706,             0.63765,             0.85604,             0.71689,             0.33383,            0.043372,            0.030314,           0.0084545,           0.0059781,           0.0059781,           0.0059781
                  54,            0.039551,            0.038792,            0.011772,             0.65449,             0.85604,             0.77985,             0.37381,            0.040491,            0.028922,           0.0082212,           0.0059008,           0.0059008,           0.0059008
                  55,            0.037718,            0.034886,            0.011733,             0.61457,             0.85604,             0.79517,             0.39611,            0.040562,            0.029825,           0.0073047,           0.0058234,           0.0058234,           0.0058234
                  56,            0.035275,            0.034107,            0.010497,             0.62991,              0.8136,             0.76645,             0.38622,            0.040004,            0.030415,            0.006804,           0.0057461,           0.0057461,           0.0057461
                  57,            0.037716,            0.038413,            0.011689,             0.77813,             0.85604,             0.84056,             0.41615,            0.036538,            0.029321,           0.0070149,           0.0056688,           0.0056688,           0.0056688
                  58,            0.039275,            0.046723,            0.010489,             0.73283,              0.7817,             0.82668,             0.43654,            0.041217,            0.030364,           0.0071276,           0.0055914,           0.0055914,           0.0055914
                  59,            0.036435,            0.037543,            0.011481,             0.73954,             0.85604,             0.78264,             0.39213,            0.039309,            0.029835,           0.0067741,           0.0055141,           0.0055141,           0.0055141
                  60,            0.037094,             0.03466,           0.0094977,             0.69539,             0.85604,              0.7621,             0.28493,            0.040505,            0.030055,           0.0070997,           0.0054367,           0.0054367,           0.0054367
                  61,            0.037155,            0.039678,           0.0098461,              0.5924,             0.76703,             0.73181,             0.41545,            0.037965,            0.030434,           0.0069372,           0.0053594,           0.0053594,           0.0053594
                  62,            0.034941,            0.037758,           0.0086404,             0.59251,             0.86292,             0.72563,             0.37357,            0.037969,             0.02943,           0.0067105,            0.005282,            0.005282,            0.005282
                  63,             0.03634,            0.042067,           0.0090233,             0.53586,             0.66703,             0.64615,             0.36182,            0.041855,            0.029265,           0.0063155,           0.0052047,           0.0052047,           0.0052047
                  64,            0.035846,            0.034309,           0.0086966,             0.69532,             0.64505,             0.71749,             0.36176,            0.041697,            0.029456,           0.0061346,           0.0051273,           0.0051273,           0.0051273
                  65,            0.036457,            0.036858,           0.0089138,             0.62714,             0.95617,             0.82361,             0.37085,              0.0395,            0.029693,           0.0062948,             0.00505,             0.00505,             0.00505
                  66,            0.033398,            0.030865,           0.0073239,             0.55546,             0.76154,             0.76019,             0.42073,            0.037054,            0.029977,           0.0057581,           0.0049727,           0.0049727,           0.0049727
                  67,            0.033074,            0.032874,           0.0075627,             0.63408,             0.77708,             0.72129,              0.3477,            0.037098,            0.030459,           0.0058667,           0.0048953,           0.0048953,           0.0048953
                  68,            0.035063,            0.041375,           0.0076302,             0.65614,             0.63127,              0.6919,             0.34248,            0.039408,            0.030809,           0.0061777,            0.004818,            0.004818,            0.004818
                  69,            0.034897,              0.0391,           0.0079984,              0.8905,              0.6011,              0.7448,             0.36503,            0.038798,            0.032082,           0.0064493,           0.0047406,           0.0047406,           0.0047406
                  70,            0.034855,            0.037226,           0.0082359,             0.82059,             0.71002,             0.82766,             0.39071,            0.036541,            0.030557,           0.0067709,           0.0046633,           0.0046633,           0.0046633
                  71,             0.03531,            0.043282,           0.0075968,             0.79108,             0.70513,             0.80417,             0.44714,            0.035426,            0.030883,           0.0064466,           0.0045859,           0.0045859,           0.0045859
                  72,            0.035486,            0.038297,           0.0073253,             0.81653,              0.7207,             0.82036,             0.38908,            0.037421,            0.031871,           0.0065272,           0.0045086,           0.0045086,           0.0045086
                  73,            0.033222,            0.035759,           0.0065322,             0.78933,             0.72308,             0.80682,             0.43455,            0.035846,            0.031139,           0.0064874,           0.0044313,           0.0044313,           0.0044313
                  74,            0.033644,            0.037973,            0.006383,             0.80877,             0.72857,               0.769,             0.43309,            0.035232,             0.03118,           0.0062529,           0.0043539,           0.0043539,           0.0043539
                  75,            0.034055,            0.038824,           0.0068021,             0.81924,             0.73224,             0.78864,             0.44137,            0.035601,            0.031871,           0.0061855,           0.0042766,           0.0042766,           0.0042766
                  76,            0.032293,            0.034904,           0.0059564,             0.80796,             0.73956,              0.7944,             0.43927,            0.033115,            0.030893,           0.0062365,           0.0041992,           0.0041992,           0.0041992
                  77,             0.03515,            0.032957,           0.0057685,             0.81825,             0.74505,             0.83067,             0.39705,            0.039865,            0.031787,           0.0064908,           0.0041219,           0.0041219,           0.0041219
                  78,            0.033547,            0.033036,           0.0055763,             0.76983,             0.80933,             0.81942,             0.47102,            0.035423,            0.030699,           0.0067005,           0.0040445,           0.0040445,           0.0040445
                  79,            0.033022,            0.029809,           0.0053414,             0.80307,             0.73407,             0.81705,             0.39099,            0.042072,            0.032413,           0.0070726,           0.0039672,           0.0039672,           0.0039672
                  80,             0.03447,            0.038106,           0.0055242,             0.81832,             0.73505,              0.8059,             0.36716,            0.038298,            0.031125,           0.0065069,           0.0038898,           0.0038898,           0.0038898
                  81,            0.032354,            0.038344,           0.0046125,             0.82511,             0.74368,             0.76289,             0.40247,            0.036701,            0.030542,            0.006119,           0.0038125,           0.0038125,           0.0038125
                  82,            0.032616,            0.037036,           0.0058997,             0.81462,             0.73407,             0.75922,             0.41188,            0.033718,            0.030066,           0.0059831,           0.0037352,           0.0037352,           0.0037352
